"001","市原の部門mac","ac:07:75:0e:03:e8"
"002","市原の部門mac","Symantec Endpoint Protection"
"002","市原の部門mac","CLIP_Agent"
"002","市原の部門mac","Rapid7"
"003","市原の部門mac","macOS 15.2 (24C103)"
"004","市原の部門mac","KNX2M616VT"
5biC5Y6f44Gu6YOo6ZaAbWFjCg==_Ngo=
